epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.8846,2.32009,3.471,1.79307,0.18797,0.30493,0.11398,0.03897,2.34388,2.81837,2.0299,0.000663024,0.000663024,0.000663024
2,150.478,2.2478,2.59912,1.8191,0.35682,0.34135,0.25471,0.09739,2.3221,2.46443,1.89928,0.00132091,0.00132091,0.00132091
3,211.762,2.19924,2.55507,1.74917,0.35916,0.26923,0.16965,0.0672,2.4799,3.05149,2.01947,0.00197001,0.00197001,0.00197001
4,274.906,2.16962,2.51651,1.72437,0.30161,0.22596,0.17283,0.07364,2.25474,2.76034,1.8393,0.0019604,0.0019604,0.0019604
5,336.079,2.15574,2.47594,1.70779,0.54075,0.38494,0.36298,0.14336,2.1125,2.26247,1.72715,0.0019472,0.0019472,0.0019472
6,400.934,2.09111,2.39427,1.67002,0.43498,0.40713,0.3142,0.14103,2.06183,2.23602,1.74044,0.001934,0.001934,0.001934
7,465.042,2.07795,2.36333,1.67207,0.41356,0.35577,0.30068,0.12856,2.17426,2.23185,1.83296,0.0019208,0.0019208,0.0019208
8,528.293,2.0478,2.33315,1.63779,0.48948,0.30769,0.26308,0.11098,2.12082,2.33002,1.80273,0.0019076,0.0019076,0.0019076
9,591.899,2.01977,2.27144,1.60655,0.58113,0.37353,0.37606,0.17102,2.00942,2.19652,1.71436,0.0018944,0.0018944,0.0018944
10,654.98,2.00916,2.30374,1.61811,0.46317,0.38462,0.32141,0.13798,2.04999,2.17257,1.71187,0.0018812,0.0018812,0.0018812
11,716.362,1.99413,2.26495,1.59433,0.47929,0.37981,0.3231,0.14276,2.06126,2.2787,1.74349,0.001868,0.001868,0.001868
12,779.236,1.96615,2.21354,1.58296,0.44299,0.34135,0.29525,0.12716,2.06489,2.2211,1.72649,0.0018548,0.0018548,0.0018548
13,840.094,1.98407,2.19536,1.59169,0.36408,0.25324,0.2249,0.09327,2.15862,2.45996,1.78171,0.0018416,0.0018416,0.0018416
14,905.973,1.96234,2.22538,1.5794,0.49912,0.40385,0.35681,0.1521,2.0556,2.08674,1.75125,0.0018284,0.0018284,0.0018284
15,970.689,1.95294,2.15416,1.57287,0.5282,0.40865,0.38974,0.16815,1.94115,2.07717,1.66196,0.0018152,0.0018152,0.0018152
16,1035.36,1.912,2.12968,1.55098,0.55233,0.33173,0.36195,0.16823,1.95385,2.10835,1.66924,0.001802,0.001802,0.001802
17,1097.07,1.91302,2.12574,1.55642,0.50172,0.42308,0.37452,0.16229,2.00482,2.11155,1.6791,0.0017888,0.0017888,0.0017888
18,1160.76,1.88695,2.13171,1.54006,0.45874,0.44712,0.36585,0.16766,1.99932,2.13856,1.68482,0.0017756,0.0017756,0.0017756
19,1222.66,1.86404,2.05561,1.52141,0.53931,0.41346,0.38708,0.17326,1.96177,2.03019,1.65893,0.0017624,0.0017624,0.0017624
20,1286.9,1.85931,2.04429,1.5154,0.51735,0.36589,0.34816,0.15029,2.06899,2.29806,1.73128,0.0017492,0.0017492,0.0017492
21,1350.8,1.875,2.04171,1.53617,0.57997,0.37981,0.38972,0.17211,1.94771,2.05577,1.65924,0.001736,0.001736,0.001736
22,1414.7,1.85883,2.0615,1.52931,0.57845,0.4375,0.41465,0.17942,1.96925,2.07264,1.66833,0.0017228,0.0017228,0.0017228
23,1475.14,1.86399,2.03632,1.52513,0.55849,0.40138,0.38808,0.16724,1.98437,2.12697,1.69818,0.0017096,0.0017096,0.0017096
24,1537.54,1.81347,1.98547,1.50604,0.55015,0.42334,0.40065,0.1712,1.96942,2.00782,1.68426,0.0016964,0.0016964,0.0016964
25,1601.33,1.80679,1.95096,1.49966,0.5701,0.39904,0.39317,0.16596,1.94117,2.08885,1.65889,0.0016832,0.0016832,0.0016832
26,1666.02,1.8132,1.93159,1.50225,0.56521,0.41346,0.39484,0.17145,1.94875,2.14156,1.69511,0.00167,0.00167,0.00167
27,1726.97,1.7771,1.89482,1.47189,0.53658,0.48558,0.44528,0.18151,2.00883,2.01401,1.71402,0.0016568,0.0016568,0.0016568
28,1791.97,1.80006,1.89107,1.48015,0.54508,0.42788,0.39321,0.15982,2.00287,2.04742,1.68583,0.0016436,0.0016436,0.0016436
29,1855.36,1.7656,1.84887,1.46483,0.52614,0.43772,0.43522,0.1807,2.05615,2.08453,1.72301,0.0016304,0.0016304,0.0016304
30,1920.28,1.75117,1.82424,1.45582,0.56591,0.45192,0.42809,0.18419,2.0073,1.94206,1.7212,0.0016172,0.0016172,0.0016172
31,1983.33,1.75112,1.8612,1.4655,0.60119,0.4131,0.43104,0.18688,2.07337,2.06226,1.73851,0.001604,0.001604,0.001604
32,2047.07,1.71474,1.7758,1.44172,0.52363,0.42308,0.42267,0.17757,2.00285,2.0442,1.72995,0.0015908,0.0015908,0.0015908
33,2111.21,1.71094,1.76475,1.43632,0.55219,0.41499,0.39595,0.16868,2.01867,2.04006,1.68681,0.0015776,0.0015776,0.0015776
34,2175.99,1.69507,1.7483,1.44371,0.61927,0.41827,0.42458,0.18883,2.02916,2.00756,1.72983,0.0015644,0.0015644,0.0015644
35,2235.55,1.69344,1.73453,1.43164,0.53274,0.42308,0.40036,0.17244,2.09069,2.07469,1.76159,0.0015512,0.0015512,0.0015512
36,2296.25,1.6691,1.68806,1.42147,0.56501,0.40385,0.37981,0.16455,2.04062,2.08772,1.72745,0.001538,0.001538,0.001538
37,2360.05,1.67928,1.69985,1.42574,0.60209,0.40865,0.41624,0.18752,1.99892,1.99328,1.73153,0.0015248,0.0015248,0.0015248
38,2419.09,1.65259,1.66048,1.4128,0.57179,0.44231,0.4458,0.189,2.0471,1.91929,1.71668,0.0015116,0.0015116,0.0015116
39,2485.03,1.64655,1.63175,1.4032,0.56783,0.40865,0.41467,0.1817,2.03175,2.02482,1.71035,0.0014984,0.0014984,0.0014984
40,2546.55,1.63053,1.59982,1.39408,0.59177,0.44231,0.43914,0.18017,2.05935,1.95614,1.73781,0.0014852,0.0014852,0.0014852
41,2610.35,1.64732,1.58628,1.39832,0.52097,0.45673,0.4212,0.17864,2.10291,2.00096,1.77604,0.001472,0.001472,0.001472
42,2670.35,1.60475,1.5415,1.37985,0.58069,0.44712,0.40901,0.17648,2.06543,1.8814,1.77058,0.0014588,0.0014588,0.0014588
43,2734.73,1.60676,1.56015,1.38622,0.50792,0.46635,0.43268,0.18273,2.10914,1.90274,1.77847,0.0014456,0.0014456,0.0014456
44,2796.96,1.59138,1.53758,1.36735,0.55423,0.45192,0.41258,0.16533,2.14715,2.01733,1.80685,0.0014324,0.0014324,0.0014324
